,top year,top k,ranking,artist,track,release year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity,top genre
0,2009,1,1,37i9dQZF1DX4UkKv8ED8jp,I Gotta Feeling,2009-01-01,0.744,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.966,0,1,4.818883333333333,76.0,pop
1,2009,1,2,37i9dQZF1DX4UkKv8ED8jp,Poker Face,2008-01-01,0.851,0.806,-4.62,0.0787,0.118,1.64e-06,0.121,0.787,118.999,4,1,3.953333333333333,78.0,pop
2,2009,1,3,37i9dQZF1DX4UkKv8ED8jp,Halo,2008-11-17,0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,79.983,11,0,4.360666666666667,76.0,pop
3,2009,1,4,37i9dQZF1DX4UkKv8ED8jp,Sexy Bitch (feat. Akon),2009-08-21,0.813,0.627,-5.018,0.0486,0.0771,0.000616,0.131,0.801,130.011,11,0,3.2642166666666665,68.0,dance
4,2009,1,5,37i9dQZF1DX4UkKv8ED8jp,Right Round,2009-03-30,0.72,0.672,-6.852,0.0551,0.009,0.0,0.232,0.705,124.986,7,1,3.4106666666666667,77.0,pop
5,2009,1,6,37i9dQZF1DX4UkKv8ED8jp,Love Story,2008-11-11,0.617,0.741,-3.97,0.0311,0.131,0.0,0.0772,0.306,118.984,2,1,3.9377833333333334,78.0,pop
6,2009,1,7,37i9dQZF1DX4UkKv8ED8jp,Heartless,2008-11-24,0.79,0.647,-5.983,0.136,0.0515,0.0,0.248,0.654,87.999,10,0,3.5166666666666666,86.0,hip hop
7,2009,1,8,37i9dQZF1DX4UkKv8ED8jp,Empire State Of Mind,2009-09-08,0.491,0.956,-1.538,0.392,0.0295,0.0,0.46,0.811,173.585,11,1,4.615333333333333,84.0,hip hop
8,2009,1,9,37i9dQZF1DX4UkKv8ED8jp,Sex on Fire,2008-09-23,0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,9,1,3.3891166666666668,83.0,rock
9,2009,1,10,37i9dQZF1DX4UkKv8ED8jp,I'm Yours,2008-05-12,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,11,1,4.0491166666666665,81.0,pop
10,2009,1,11,37i9dQZF1DX4UkKv8ED8jp,Bad Romance,2009-11-05,0.696,0.921,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,0,1,4.90955,84.0,pop
11,2009,1,12,37i9dQZF1DX4UkKv8ED8jp,Walking On A Dream,2008-10-03,0.871,0.701,-5.594,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,5,0,3.3073333333333332,80.0,dance
12,2009,1,13,37i9dQZF1DX4UkKv8ED8jp,Run This Town,2009-09-08,0.632,0.924,-1.802,0.29,0.281,0.0,0.263,0.441,86.844,1,1,4.458666666666667,82.0,hip hop
13,2009,1,14,37i9dQZF1DX4UkKv8ED8jp,Down,2009-01-01,0.727,0.68,-4.498,0.0286,0.0101,0.0,0.0821,0.728,132.012,2,1,3.5417833333333335,79.0,pop
14,2009,1,15,37i9dQZF1DX4UkKv8ED8jp,Monster,2009-08-21,0.64,0.957,-2.336,0.0741,0.0431,0.0,0.0789,0.692,134.992,8,1,2.9668833333333335,79.0,rock
15,2009,1,16,37i9dQZF1DX4UkKv8ED8jp,Best I Ever Had,2009,0.395,0.922,-2.176,0.375,0.19,0.0,0.134,0.558,162.361,1,1,4.294833333333333,78.0,hip hop
16,2009,1,17,37i9dQZF1DX4UkKv8ED8jp,Party In The U.S.A.,2009-01-01,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,10,0,3.367783333333333,78.0,pop
17,2009,1,18,37i9dQZF1DX4UkKv8ED8jp,She Wolf,2009,0.865,0.69,-7.448,0.0443,0.285,0.0162,0.225,0.867,121.983,7,1,3.1477833333333334,78.0,pop
18,2009,1,19,37i9dQZF1DX4UkKv8ED8jp,Kiss Me Thru The Phone,2008-01-01,0.758,0.712,-3.781,0.112,0.0185,0.0,0.0677,0.795,149.998,7,1,3.223116666666667,78.0,hip hop
19,2009,1,20,37i9dQZF1DX4UkKv8ED8jp,Use Somebody,2008-09-23,0.276,0.715,-5.356,0.0432,0.00552,0.000417,0.201,0.173,137.028,0,1,3.846,78.0,rock
20,2009,1,21,37i9dQZF1DX4UkKv8ED8jp,Uprising,2009-09-10,0.602,0.905,-4.046,0.0775,0.000202,0.064,0.117,0.411,128.019,2,1,5.080666666666667,77.0,rock
21,2009,1,22,37i9dQZF1DX4UkKv8ED8jp,Live Your Life,2008-09-07,0.375,0.862,-3.363,0.255,0.071,0.0,0.211,0.478,159.841,11,0,5.64755,77.0,hip hop
22,2009,1,23,37i9dQZF1DX4UkKv8ED8jp,Just Dance,2008-01-01,0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,1,0,4.032216666666667,77.0,pop
23,2009,1,24,37i9dQZF1DX4UkKv8ED8jp,Secrets,2009-01-01,0.516,0.764,-6.223,0.0366,0.0717,0.0,0.115,0.376,148.021,2,1,3.744883333333333,77.0,pop
24,2009,1,25,37i9dQZF1DX4UkKv8ED8jp,Circus,2008-12-02,0.791,0.733,-5.215,0.052,0.147,0.000381,0.0713,0.761,114.98,6,0,3.206,76.0,pop
25,2009,0,26,37i9dQZF1DX4UkKv8ED8jp,You Belong With Me,2008-11-11,0.687,0.745,-4.432,0.0379,0.178,1.59e-05,0.111,0.435,129.966,6,1,3.8686666666666665,76.0,pop
26,2009,0,27,37i9dQZF1DX4UkKv8ED8jp,21 Guns,2009-05-15,0.268,0.742,-4.939,0.0355,0.0518,0.0,0.626,0.416,159.779,5,1,5.35155,75.0,rock
27,2009,0,28,37i9dQZF1DX4UkKv8ED8jp,Whatever You Like,2008-09-07,0.68,0.687,-6.162,0.0709,0.0161,0.0,0.261,0.467,150.053,9,0,4.158883333333334,75.0,hip hop
28,2009,0,29,37i9dQZF1DX4UkKv8ED8jp,Forever,2009-05-15,0.457,0.906,-2.278,0.342,0.249,0.0,0.182,0.54,104.02,5,0,5.961783333333333,75.0,hip hop
29,2009,0,30,37i9dQZF1DX4UkKv8ED8jp,The Only Exception,2009-09-28,0.452,0.563,-6.607,0.0272,0.144,0.0,0.143,0.209,137.715,4,1,4.460883333333333,74.0,pop
30,2009,0,31,37i9dQZF1DX4UkKv8ED8jp,You Found Me,2009-02-02,0.338,0.803,-5.412,0.0413,0.0187,0.0,0.136,0.4,151.994,8,0,4.030883333333334,74.0,rock
31,2009,0,32,37i9dQZF1DX4UkKv8ED8jp,Dog Days Are Over,2009,0.492,0.81,-5.315,0.0847,0.0416,0.00379,0.117,0.245,149.954,7,1,4.197333333333333,73.0,pop
32,2009,0,33,37i9dQZF1DX4UkKv8ED8jp,Day 'N' Nite (nightmare),2009-01-01,0.881,0.441,-6.278,0.0646,0.48,9.08e-06,0.119,0.804,138.014,11,0,3.687333333333333,73.0,hip hop
33,2009,0,34,37i9dQZF1DX4UkKv8ED8jp,Bulletproof,2009,0.674,0.882,-2.771,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,3,0,3.4288833333333333,73.0,dance
34,2009,0,35,37i9dQZF1DX4UkKv8ED8jp,Fire Burning,2009-09-07,0.839,0.804,-2.513,0.0329,0.0192,0.0,0.331,0.888,122.973,1,1,3.9997833333333332,72.0,pop
35,2009,0,36,37i9dQZF1DX4UkKv8ED8jp,Little Lion Man,2009-10-02,0.52,0.496,-8.121,0.0271,0.0234,2.05e-05,0.0905,0.496,138.81,5,1,4.1167,72.0,rock
36,2009,0,37,37i9dQZF1DX4UkKv8ED8jp,Hotel Room Service,2009-08-27,0.85,0.631,-8.401,0.227,0.00684,0.000406,0.0679,0.738,126.002,1,1,3.96,72.0,pop
37,2009,0,38,37i9dQZF1DX4UkKv8ED8jp,Crack A Bottle,2009-05-15,0.516,0.874,-2.571,0.186,0.0864,0.0,0.173,0.391,169.561,9,1,4.958666666666667,72.0,hip hop
38,2009,0,39,37i9dQZF1DX4UkKv8ED8jp,One Time,2009-01-01,0.691,0.853,-2.528,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,1,0,3.5977833333333336,72.0,pop
39,2009,0,40,37i9dQZF1DX4UkKv8ED8jp,Paparazzi,2008-01-01,0.762,0.692,-3.973,0.0438,0.113,0.0,0.094,0.397,114.906,5,0,3.471783333333333,72.0,pop
40,2009,0,41,37i9dQZF1DX4UkKv8ED8jp,If U Seek Amy,2008-12-02,0.717,0.587,-7.296,0.0339,0.0192,0.0,0.0523,0.544,129.954,4,0,3.6086666666666667,71.0,pop
41,2009,0,42,37i9dQZF1DX4UkKv8ED8jp,New Divide,2009-06-12,0.493,0.808,-3.365,0.0362,0.000235,0.0,0.0983,0.38,117.971,5,0,4.476883333333333,71.0,rock
42,2009,0,43,37i9dQZF1DX4UkKv8ED8jp,DONTTRUSTME,2008-07-07,0.791,0.713,-3.742,0.254,0.0163,0.0,0.189,0.514,130.012,5,0,3.20955,71.0,pop
43,2009,0,44,37i9dQZF1DX4UkKv8ED8jp,The Climb,2009-01-01,0.327,0.588,-6.611,0.0336,0.0834,0.0,0.104,0.329,161.074,4,1,3.93445,71.0,pop
44,2009,0,45,37i9dQZF1DX4UkKv8ED8jp,LoveGame,2008-01-01,0.894,0.678,-5.611,0.0523,0.00569,2.43e-06,0.317,0.844,105.024,6,0,3.60555,72.0,pop
45,2009,0,46,37i9dQZF1DX4UkKv8ED8jp,Haven't Met You Yet,2009-10-06,0.615,0.733,-4.808,0.0335,0.152,0.0,0.109,0.796,122.58,8,1,4.07645,71.0,pop
46,2009,0,47,37i9dQZF1DX4UkKv8ED8jp,Mad,2008-01-01,0.727,0.649,-5.356,0.0338,0.661,0.0,0.111,0.669,129.992,0,1,4.242216666666667,71.0,pop
47,2009,0,48,37i9dQZF1DX4UkKv8ED8jp,I Know You Want Me (Calle Ocho),2009-08-27,0.817,0.733,-6.009,0.145,0.0152,4.31e-05,0.107,0.833,127.056,2,1,3.952,71.0,pop
